tweet_id,timestamp,text,rating_numerator,rating_denominator,name,dog_stages,jpg_url,img_num,p1,p2,p3,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
667549055577362432,2015-11-20 03:44:31,Never seen dog like this. Breathes heavy. Tilts head in a pattern. No bark. Shitty at fetch. Not even cordless. 1/10 https://t.co/i9iSGNn3fx,1.0,10.0,,,https://pbs.twimg.com/media/CUOcVCwWsAERUKY.jpg,667549055577362432,electric_fan,spotlight,lampshade,5769,2296,8028895,12,Twitter Web Client,Original tweet,https://t.co/i9iSGNn3fx
667546741521195010,2015-11-20 03:35:20,Here is George. George took a selfie of his new man bun and that is downright epic. (Also looks like Rand Paul) 9/10 https://t.co/afRtVsoIIb,9.0,10.0,George,,https://pbs.twimg.com/media/CUOaOWXWcAA0_Jy.jpg,667546741521195010,toy_poodle,miniature_poodle,teddy,331,125,8029476,12,Twitter Web Client,Original tweet,https://t.co/afRtVsoIIb
667544320556335104,2015-11-20 03:25:43,"This is Kial. Kial is either wearing a cape, which would be rad, or flashing us, which would be rude. 10/10 or 4/10 https://t.co/8zcwIoiuqR",10.0,10.0,Kial,,https://pbs.twimg.com/media/CUOYBbbWIAAXQGU.jpg,667544320556335104,Pomeranian,Pembroke,Chihuahua,863,529,8028895,12,Twitter Web Client,Original tweet,https://t.co/8zcwIoiuqR
667538891197542400,2015-11-20 03:04:08,"This is a southwest Coriander named Klint. Hat looks expensive. Still on house arrest :(
9/10 https://t.co/IQTOMqDUIe",9.0,10.0,,,https://pbs.twimg.com/media/CUOTFZOW4AABsfW.jpg,667538891197542400,Yorkshire_terrier,silky_terrier,Australian_terrier,203,65,8028895,12,Twitter Web Client,Original tweet,https://t.co/IQTOMqDUIe
667724302356258817,2015-11-20 15:20:54,What a dog to start the day with. Very calm. Likes to chill by pond. Corkscrews sticking out of head. Obedient. 7/10 https://t.co/0nIxPTDWAZ,7.0,10.0,,,https://pbs.twimg.com/media/CUQ7tv3W4AA3KlI.jpg,667724302356258817,ibex,bighorn,ram,481,319,8028895,12,Twitter Web Client,Original tweet,https://t.co/0nIxPTDWAZ
667534815156183040,2015-11-20 02:47:56,"This is Frank (pronounced ""Fronq""). Too many boxing gloves, not enough passion. Frank is a lover not a fighter. 8/10 https://t.co/CpPxD28IpV",8.0,10.0,Frank,,https://pbs.twimg.com/media/CUOPYI5UcAAj_nO.jpg,667534815156183040,Pembroke,Cardigan,cocker_spaniel,812,541,8028895,12,Twitter Web Client,Original tweet,https://t.co/CpPxD28IpV
667524857454854144,2015-11-20 02:08:22,Another topnotch dog. His name is Big Jumpy Rat. Massive ass feet. Superior tail. Jumps high af. 12/10 great pup https://t.co/seESNzgsdm,12.0,10.0,,,https://pbs.twimg.com/media/CUOGUfJW4AA_eni.jpg,667524857454854144,hare,dhole,Chesapeake_Bay_retriever,1684,1110,8028895,12,Twitter Web Client,Original tweet,https://t.co/seESNzgsdm
667517642048163840,2015-11-20 01:39:42,This is Dook &amp; Milo. Dook is struggling to find who he really is and Milo is terrified of what that might be. 8/10s https://t.co/fh5KflzBR0,8.0,10.0,Dook,,https://pbs.twimg.com/media/CUN_wiBUkAAakT0.jpg,667517642048163840,Italian_greyhound,standard_poodle,cocker_spaniel,366,193,8028895,12,Twitter Web Client,Original tweet,https://t.co/fh5KflzBR0
667509364010450944,2015-11-20 01:06:48,This a Norwegian Pewterschmidt named Tickles. Ears for days. 12/10 I care deeply for Tickles https://t.co/0aDF62KVP7,12.0,10.0,,,https://pbs.twimg.com/media/CUN4Or5UAAAa5K4.jpg,667509364010450944,beagle,Labrador_retriever,golden_retriever,6741,2129,8028895,12,Twitter Web Client,Original tweet,https://t.co/0aDF62KVP7
667502640335572993,2015-11-20 00:40:05,Say hello to Hall and Oates. Oates is winking and Hall is contemplating the artistic entropy of the universe. 11/10s https://t.co/n5Wtb5Hvsl,11.0,10.0,Hall,,https://pbs.twimg.com/media/CUNyHTMUYAAQVch.jpg,667502640335572993,Labrador_retriever,golden_retriever,beagle,530,219,8028895,12,Twitter Web Client,Original tweet,https://t.co/n5Wtb5Hvsl
